region,category,pair_id,app_name,apk_path,sha256,package
ru,social_2,social2,OK,data/ru/ru.ok.android__vc26012700__79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691.apk,79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru.ok.android
eu,social_2,social2,X,data/eu/com.twitter.android__vc311610000__CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB.apk,CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,com.twitter.android
ru,msg_1,msg1,MAX,data/ru/MAX_last_v.apk,0EE9AEE643DEE087F7221212C0BF87B23DD451CDA7589AB3D04339E6E7668745,ru.oneme.app
eu,msg_1,msg1,WhatsApp,data/eu/com.whatsapp__vc260379000__3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1.apk,3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1,com.whatsapp
ru,msg_2,msg2,Yandex Telemost,data/ru/ru.yandex.telemost__vc201000__67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E.apk,67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru.yandex.telemost
eu,msg_2,msg2,Telegram,data/eu/org.telegram.messenger__vc63852__0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F.apk,0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F,org.telegram.messenger
ru,gov_portal,gov1,Gosuslugi,data/ru/ru.rostel__vc9150__E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B.apk,E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B,ru.rostel
eu,gov_portal,gov1,MyGuichet.lu,data/eu/lu.etat.fp.gun.android__vc1103__36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31.apk,36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,lu.etat.fp.gun.android
ru,gov_tax,gov2,Nalogi FL,data/ru/ru.fns.lkfl__vc15026117__69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B.apk,69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B,ru.fns.lkfl
eu,gov_tax,gov2,impots.gouv,data/eu/fr.gouv.finances.smartphone.android__vc199__20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C.apk,20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,fr.gouv.finances.smartphone.android
ru,gov_eid,gov3,Gosuslugi Biometria,data/ru/ru.rtlabs.mobile.ebs.gosuslugi.android__vc20250919__D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA.apk,D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.gosuslugi.android
eu,gov_eid,gov3,itsme,data/eu/be.bmid.itsme__vc1766405119__003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99.apk,003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,be.bmid.itsme
