library,ru_app_count,eu_app_count,total_app_count,region_type,ru_apps,eu_apps,ru_usage_percent,eu_usage_percent
com.arkivanov.decompose,1,1,2,Common,Wildberries,X,5.0,5.0
com.beust,1,1,2,Common,Gosuslugi,X,5.0,5.0
com.futuremind,1,1,2,Common,MAX,X,5.0,5.0
com.hbb20,1,1,2,Common,MAX,X,5.0,5.0
com.microsoft,1,1,2,Common,Tinkoff,MyGuichet.lu,5.0,5.0
com.sothree.slidinguppanel,1,1,2,Common,Alfa Bank,BGL,5.0,5.0
com.twilio,1,1,2,Common,Yandex Go Taxi,Revolut,5.0,5.0
com.unity3d.ads,1,1,2,Common,OK,Vinted,5.0,5.0
com.valentinilk.shimmer,1,1,2,Common,Wildberries,X,5.0,5.0
com.vungle,1,1,2,Common,OK,Vinted,5.0,5.0
me.relex,1,1,2,Common,OK,BILnet,5.0,5.0
me.saket,1,1,2,Common,Gosuslugi,X,5.0,5.0
ch.qos.logback,0,2,2,EU_only,,Revolut;itsme,0.0,10.0
com.adobe,0,2,2,EU_only,,Amazon Shopping;BGL,0.0,10.0
com.amazon.device,0,2,2,EU_only,,Amazon Shopping;Vinted,0.0,10.0
com.daimajia,0,2,2,EU_only,,Bolt;Zalando,0.0,10.0
com.goncalossilva,0,2,2,EU_only,,Amazon Shopping;X,0.0,10.0
com.lyft,0,2,2,EU_only,,Revolut;X,0.0,10.0
com.stripe,0,2,2,EU_only,,Telegram;X,0.0,10.0
com.tencent,0,2,2,EU_only,,Amazon Shopping;Vinted,0.0,10.0
com.uber,0,2,2,EU_only,,Bolt;Vinted,0.0,10.0
dev.zacsweers,0,2,2,EU_only,,Vinted;X,0.0,10.0
jakarta.inject,0,2,2,EU_only,,BGL;Bolt,0.0,10.0
net.openid,0,2,2,EU_only,,Zalando;bol,0.0,10.0
org.aspectj,0,2,2,EU_only,,Amazon Shopping;Telegram,0.0,10.0
org.parceler,0,2,2,EU_only,,X;Zalando,0.0,10.0
ai.x,1,0,1,RU_only,Yandex Telemost,,5.0,0.0
androidmads.library.qrgenearator,1,0,1,RU_only,Wildberries,,5.0,0.0
app.cash.zipline,1,0,1,RU_only,Tinkoff,,5.0,0.0
at.favre.lib,1,0,1,RU_only,OK,,5.0,0.0
com.alexvasilkov,1,0,1,RU_only,Gosuslugi,,5.0,0.0
com.appyvet,1,0,1,RU_only,Wildberries,,5.0,0.0
com.badoo.mobile,1,0,1,RU_only,Wildberries,,5.0,0.0
com.bea.xml,1,0,1,RU_only,Yandex Trains,,5.0,0.0
com.bytedance,1,0,1,RU_only,OK,,5.0,0.0
com.connectsdk,1,0,1,RU_only,OK,,5.0,0.0
com.davemorrissey.labs,1,0,1,RU_only,Gosuslugi,,5.0,0.0
com.detmir.recycli,1,0,1,RU_only,Ozon,,5.0,0.0
com.dynatrace,1,0,1,RU_only,VTB,,5.0,0.0
com.evernote,1,0,1,RU_only,Yandex Maps,,5.0,0.0
com.freeletics.rxredux,1,0,1,RU_only,Tinkoff,,5.0,0.0
com.geetest.captcha,1,0,1,RU_only,Avito,,5.0,0.0
com.giphy.sdk,1,0,1,RU_only,EMIAS.INFO,,5.0,0.0
com.itextpdf,1,0,1,RU_only,Tinkoff,,5.0,0.0
com.jaredrummler,1,0,1,RU_only,Avito,,5.0,0.0
com.karumi,1,0,1,RU_only,Alfa Bank,,5.0,0.0
com.koushikdutta.async,1,0,1,RU_only,OK,,5.0,0.0
com.neovisionaries,1,0,1,RU_only,Gosuslugi Biometria,,5.0,0.0
com.nex3z,1,0,1,RU_only,RZD,,5.0,0.0
com.pierfrancescosoffritti.androidyoutubeplayer,1,0,1,RU_only,Wildberries,,5.0,0.0
com.pushtorefresh,1,0,1,RU_only,Yandex Maps,,5.0,0.0
com.serjltt.moshi,1,0,1,RU_only,Yandex Maps,,5.0,0.0
com.soywiz,1,0,1,RU_only,Yandex Maps,,5.0,0.0
com.tbuonomo,1,0,1,RU_only,Gosuslugi,,5.0,0.0
com.thoughtbot,1,0,1,RU_only,Wildberries,,5.0,0.0
com.tonicartos,1,0,1,RU_only,VK,,5.0,0.0
com.upokecenter,1,0,1,RU_only,Gosuslugi,,5.0,0.0
com.voximplant,1,0,1,RU_only,Sberbank,,5.0,0.0
hu.supercluster,1,0,1,RU_only,Yandex Maps,,5.0,0.0
io.card,1,0,1,RU_only,Gosuslugi,,5.0,0.0
io.gsonfire,1,0,1,RU_only,Yandex Market,,5.0,0.0
io.qameta,1,0,1,RU_only,Yandex Maps,,5.0,0.0
io.rsocket,1,0,1,RU_only,Sberbank,,5.0,0.0
io.tus.java.client,1,0,1,RU_only,Yandex Maps,,5.0,0.0
me.dm7.barcodescanner,1,0,1,RU_only,RZD,,5.0,0.0
me.grishka.appkit,1,0,1,RU_only,VK,,5.0,0.0
net.glxn,1,0,1,RU_only,Tinkoff,,5.0,0.0
net.i2p,1,0,1,RU_only,Gosuslugi,,5.0,0.0
net.lingala,1,0,1,RU_only,Tinkoff,,5.0,0.0
net.pwall.json,1,0,1,RU_only,Gosuslugi,,5.0,0.0
net.pwall.log,1,0,1,RU_only,Gosuslugi,,5.0,0.0
net.pwall.util,1,0,1,RU_only,Gosuslugi,,5.0,0.0
net.pwall.yaml,1,0,1,RU_only,Gosuslugi,,5.0,0.0
org.altbeacon,1,0,1,RU_only,Yandex Go Taxi,,5.0,0.0
org.codehaus,1,0,1,RU_only,Gosuslugi Biometria,,5.0,0.0
org.hildan.krossbow,1,0,1,RU_only,Alfa Bank,,5.0,0.0
org.jacoco,1,0,1,RU_only,OK,,5.0,0.0
org.jdom,1,0,1,RU_only,Gosuslugi,,5.0,0.0
org.jitsi,1,0,1,RU_only,EMIAS.INFO,,5.0,0.0
org.mp4parser,1,0,1,RU_only,VK,,5.0,0.0
org.rajawali3d,1,0,1,RU_only,RZD,,5.0,0.0
org.shredzone.commons,1,0,1,RU_only,VK,,5.0,0.0
org.sufficientlysecure,1,0,1,RU_only,VTB,,5.0,0.0
org.xbill,1,0,1,RU_only,Wildberries,,5.0,0.0
ru.gildor.coroutines,1,0,1,RU_only,Wildberries,,5.0,0.0
uk.co.samuelwall,1,0,1,RU_only,Wildberries,,5.0,0.0
app.cash.turbine,0,1,1,EU_only,,itsme,0.0,5.0
co.datadome,0,1,1,EU_only,,Vinted,0.0,5.0
co.touchlab,0,1,1,EU_only,,Bolt,0.0,5.0
com.adyen,0,1,1,EU_only,,Vinted,0.0,5.0
com.amazon.android,0,1,1,EU_only,,Amazon Shopping,0.0,5.0
com.amazon.ion,0,1,1,EU_only,,Amazon Shopping,0.0,5.0
com.andraskindler.quickscroll,0,1,1,EU_only,,BGL,0.0,5.0
com.bendb.thrifty,0,1,1,EU_only,,X,0.0,5.0
com.bol,0,1,1,EU_only,,bol,0.0,5.0
com.bugsnag,0,1,1,EU_only,,Amazon Shopping,0.0,5.0
com.carrotsearch,0,1,1,EU_only,,Telegram,0.0,5.0
com.checkout,0,1,1,EU_only,,Vinted,0.0,5.0
com.clevertap,0,1,1,EU_only,,Bolt,0.0,5.0
com.codahale,0,1,1,EU_only,,X,0.0,5.0
com.contentstack,0,1,1,EU_only,,bol,0.0,5.0
com.edmodo,0,1,1,EU_only,,Zalando,0.0,5.0
com.f2prateek,0,1,1,EU_only,,Bolt,0.0,5.0
com.faltenreich,0,1,1,EU_only,,BGL,0.0,5.0
com.fyber,0,1,1,EU_only,,Vinted,0.0,5.0
com.goterl,0,1,1,EU_only,,X,0.0,5.0
com.h6ah4i.android,0,1,1,EU_only,,Zalando,0.0,5.0
com.hivemq,0,1,1,EU_only,,Bolt,0.0,5.0
com.iabtcf,0,1,1,EU_only,,Vinted,0.0,5.0
com.incognia,0,1,1,EU_only,,Vinted,0.0,5.0
com.ing,0,1,1,EU_only,,ING Luxembourg,0.0,5.0
com.instagram,0,1,1,EU_only,,WhatsApp,0.0,5.0
com.instana,0,1,1,EU_only,,DB Navigator,0.0,5.0
com.ionspin.kotlin,0,1,1,EU_only,,X,0.0,5.0
com.jme3,0,1,1,EU_only,,Amazon Shopping,0.0,5.0
com.klarna,0,1,1,EU_only,,Vinted,0.0,5.0
com.launchdarkly,0,1,1,EU_only,,Vinted,0.0,5.0
com.mikepenz,0,1,1,EU_only,,X,0.0,5.0
com.mikhaellopez,0,1,1,EU_only,,BILnet,0.0,5.0
com.mixpanel,0,1,1,EU_only,,Bolt,0.0,5.0
com.nineoldandroids,0,1,1,EU_only,,BGL,0.0,5.0
com.onesignal,0,1,1,EU_only,,Doctena,0.0,5.0
com.onfido,0,1,1,EU_only,,Revolut,0.0,5.0
com.optimizely.ab,0,1,1,EU_only,,DB Navigator,0.0,5.0
com.orhanobut,0,1,1,EU_only,,Revolut,0.0,5.0
com.patloew.colocation,0,1,1,EU_only,,Vinted,0.0,5.0
com.plaid,0,1,1,EU_only,,X,0.0,5.0
com.polidea.rxandroidble2,0,1,1,EU_only,,Bolt,0.0,5.0
com.revolut,0,1,1,EU_only,,Revolut,0.0,5.0
com.ryanharter.auto.value,0,1,1,EU_only,,X,0.0,5.0
com.samskivert,0,1,1,EU_only,,Revolut,0.0,5.0
com.spotify,0,1,1,EU_only,,Google Maps,0.0,5.0
com.tickaroo.tikxml,0,1,1,EU_only,,Bolt,0.0,5.0
com.twitter,0,1,1,EU_only,,X,0.0,5.0
com.urbanairship,0,1,1,EU_only,,bol,0.0,5.0
com.vdurmont,0,1,1,EU_only,,X,0.0,5.0
de.greenrobot,0,1,1,EU_only,,X,0.0,5.0
de.javagl,0,1,1,EU_only,,MyGuichet.lu,0.0,5.0
de.zalando,0,1,1,EU_only,,Zalando,0.0,5.0
dev.openfeature,0,1,1,EU_only,,Vinted,0.0,5.0
eu.bolt,0,1,1,EU_only,,Bolt,0.0,5.0
financial.atomic,0,1,1,EU_only,,Revolut,0.0,5.0
fr.greweb,0,1,1,EU_only,,Amazon Shopping,0.0,5.0
io.livekit,0,1,1,EU_only,,X,0.0,5.0
io.mockk,0,1,1,EU_only,,itsme,0.0,5.0
io.netty,0,1,1,EU_only,,Bolt,0.0,5.0
io.seon.androidsdk,0,1,1,EU_only,,Revolut,0.0,5.0
io.vavr,0,1,1,EU_only,,Revolut,0.0,5.0
it.innove,0,1,1,EU_only,,Amazon Shopping,0.0,5.0
it.sephiroth,0,1,1,EU_only,,Revolut,0.0,5.0
net.minidev,0,1,1,EU_only,,WhatsApp,0.0,5.0
org.apmem.tools,0,1,1,EU_only,,Bolt,0.0,5.0
org.ccil.cowan.tagsoup,0,1,1,EU_only,,Bolt,0.0,5.0
org.iban4j,0,1,1,EU_only,,BGL,0.0,5.0
org.iq80.snappy,0,1,1,EU_only,,Amazon Shopping,0.0,5.0
org.jctools,0,1,1,EU_only,,Bolt,0.0,5.0
org.kodein.di,0,1,1,EU_only,,X,0.0,5.0
org.kodein.type,0,1,1,EU_only,,X,0.0,5.0
org.microg,0,1,1,EU_only,,WhatsApp,0.0,5.0
org.opentest4j,0,1,1,EU_only,,itsme,0.0,5.0
org.reduxkotlin,0,1,1,EU_only,,Zalando,0.0,5.0
org.signal,0,1,1,EU_only,,WhatsApp,0.0,5.0
org.snakeyaml,0,1,1,EU_only,,Vinted,0.0,5.0
org.springframework,0,1,1,EU_only,,BGL,0.0,5.0
org.telegram,0,1,1,EU_only,,Telegram,0.0,5.0
org.whispersystems,0,1,1,EU_only,,WhatsApp,0.0,5.0
org.yaml,0,1,1,EU_only,,Vinted,0.0,5.0
