sha256,region,category,pair_id,app_name,package,topic,source,hit_count,hits
0EE9AEE643DEE087F7221212C0BF87B23DD451CDA7589AB3D04339E6E7668745,ru,msg_1,msg1,MAX,ru.oneme.app,analytics,mvnrepo,2,com.google.android.gms;com.google.firebase
3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1,eu,msg_1,msg1,WhatsApp,com.whatsapp,analytics,mvnrepo,3,com.google.android.gms;com.google.firebase;com.google.firebase.ktx
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru,msg_2,msg2,Yandex Telemost,ru.yandex.telemost,analytics,mvnrepo,3,com.google.android.gms;io.appmetrica.analytics;io.appmetrica.analytics.logger
0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F,eu,msg_2,msg2,Telegram,org.telegram.messenger,analytics,mvnrepo,3,com.google.android.gms;com.google.firebase;com.google.firebase.analytics
E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B,ru,gov_portal,gov1,Gosuslugi,ru.rostel,analytics,mvnrepo,7,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;com.google.firebase.ktx;com.yandex.pay;io.appmetrica.analytics;io.appmetrica.analytics.logger
36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,eu,gov_portal,gov1,MyGuichet.lu,lu.etat.fp.gun.android,analytics,mvnrepo,3,com.google.android.gms;com.google.firebase;com.google.firebase.analytics
69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B,ru,gov_tax,gov2,Nalogi FL,ru.fns.lkfl,analytics,mvnrepo,6,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;com.google.firebase.ktx;io.appmetrica.analytics;io.appmetrica.analytics.logger
20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,eu,gov_tax,gov2,impots.gouv,fr.gouv.finances.smartphone.android,analytics,mvnrepo,3,com.google.android.gms;com.google.firebase;com.google.firebase.ktx
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru,gov_eid,gov3,Gosuslugi Biometria,ru.rtlabs.mobile.ebs.gosuslugi.android,analytics,mvnrepo,4,com.google.android.gms;com.google.firebase;com.google.firebase.analytics;com.google.firebase.ktx
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,eu,gov_eid,gov3,itsme,be.bmid.itsme,analytics,mvnrepo,4,com.amplitude.android;com.google.android.gms;com.google.firebase;com.google.firebase.analytics
