category,pair_id,ru_app,eu_app,metric,value
transport_maps,maps,Yandex Maps,Google Maps,ru_exported_comp_total,36
transport_maps,maps,Yandex Maps,Google Maps,ru_perm_count_local,60
transport_maps,maps,Yandex Maps,Google Maps,ru_vt_dangerous_perm_count,18
transport_maps,maps,Yandex Maps,Google Maps,ru_vt_malicious,0
transport_maps,maps,Yandex Maps,Google Maps,ru_vt_perm_count,60
transport_maps,maps,Yandex Maps,Google Maps,ru_vt_suspicious,0
transport_rail,rail1,RZD,DB Navigator,delta_exported_total_ru_minus_eu,9
transport_rail,rail1,RZD,DB Navigator,delta_perm_local_ru_minus_eu,43
transport_rail,rail1,RZD,DB Navigator,eu_exported_comp_total,20
transport_rail,rail1,RZD,DB Navigator,eu_perm_count_local,19
transport_rail,rail1,RZD,DB Navigator,eu_vt_dangerous_perm_count,6
transport_rail,rail1,RZD,DB Navigator,eu_vt_malicious,0
transport_rail,rail1,RZD,DB Navigator,eu_vt_perm_count,19
transport_rail,rail1,RZD,DB Navigator,eu_vt_suspicious,0
transport_rail,rail1,RZD,DB Navigator,ru_exported_comp_total,29
transport_rail,rail1,RZD,DB Navigator,ru_perm_count_local,62
transport_rail,rail1,RZD,DB Navigator,ru_vt_dangerous_perm_count,15
transport_rail,rail1,RZD,DB Navigator,ru_vt_malicious,0
transport_rail,rail1,RZD,DB Navigator,ru_vt_perm_count,62
transport_rail,rail1,RZD,DB Navigator,ru_vt_suspicious,0
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,delta_exported_total_ru_minus_eu,25
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,delta_perm_local_ru_minus_eu,12
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,eu_exported_comp_total,8
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,eu_perm_count_local,17
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,eu_vt_dangerous_perm_count,4
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,eu_vt_malicious,0
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,eu_vt_perm_count,17
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,eu_vt_suspicious,0
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,ru_exported_comp_total,33
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,ru_perm_count_local,29
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,ru_vt_dangerous_perm_count,6
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,ru_vt_malicious,0
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,ru_vt_perm_count,29
transport_rail,rail2,Yandex Trains,Mobiliteit.lu,ru_vt_suspicious,0
transport_taxi,taxi,Yandex Go Taxi,Bolt,delta_exported_total_ru_minus_eu,16
transport_taxi,taxi,Yandex Go Taxi,Bolt,delta_perm_local_ru_minus_eu,24
transport_taxi,taxi,Yandex Go Taxi,Bolt,eu_exported_comp_total,18
transport_taxi,taxi,Yandex Go Taxi,Bolt,eu_perm_count_local,40
transport_taxi,taxi,Yandex Go Taxi,Bolt,eu_vt_dangerous_perm_count,11
transport_taxi,taxi,Yandex Go Taxi,Bolt,eu_vt_malicious,0
transport_taxi,taxi,Yandex Go Taxi,Bolt,eu_vt_perm_count,40
transport_taxi,taxi,Yandex Go Taxi,Bolt,eu_vt_suspicious,0
transport_taxi,taxi,Yandex Go Taxi,Bolt,ru_exported_comp_total,34
transport_taxi,taxi,Yandex Go Taxi,Bolt,ru_perm_count_local,64
transport_taxi,taxi,Yandex Go Taxi,Bolt,ru_vt_dangerous_perm_count,13
transport_taxi,taxi,Yandex Go Taxi,Bolt,ru_vt_malicious,0
transport_taxi,taxi,Yandex Go Taxi,Bolt,ru_vt_perm_count,64
transport_taxi,taxi,Yandex Go Taxi,Bolt,ru_vt_suspicious,0
